date,busloans_psavert_ratio,busloans_psavert_ratio_ma6,busloans_psavert_ratio_yoy_pct,busloans_psavert_ratio_zscore24,cpi_yoy_pct,cpi_yoy_pct_ma6,cpi_yoy_pct_zscore24,y_crisis_t_plus_18m
1984-06-01,40.99748181818182,39.37948314329012,-4.230826840052182,0.7923468678853438,4.325955734406439,4.515370811104106,0.30829993446105847,0
1984-07-01,39.9825350877193,39.046515085519445,-2.5047881881531397,0.44783591644303206,4.308617234468937,4.518458361758704,0.4384601083724137,0
1984-08-01,39.21303418803419,39.49608974904238,-10.16634655391525,0.12192200924547143,4.295704295704317,4.452096152539357,0.5626790649393258,0
1984-09-01,39.47989743589744,39.77568815210131,-5.843550307029943,0.13920122525995338,4.2828685258964105,4.350413180046046,0.6007417564665966,0
1984-10-01,40.20297413793104,40.075052262809116,-3.889046286806397,0.35561465928508296,4.265873015873023,4.302282704283992,0.6494759976751397,0
1984-11-01,44.0151214953271,40.64850736051515,10.677854847442791,1.732398821299647,4.154302670623156,4.272220246162047,0.5275775736308151,0
1984-12-01,42.64436036036036,40.9229871175449,4.050737652000058,1.1007116858951091,4.043392504930954,4.225126374582799,0.3665814184954448,0
1985-01-01,46.37125490196079,41.98777375325182,10.45944627509936,2.3083518540496226,3.52595494613126,4.094682659859854,-0.3105145717237389,0
1985-02-01,53.51195505617977,44.370927231276085,46.54551826987563,3.5156442189250914,3.6062378167641462,3.9797715800364917,-0.2111632988496294,0
1985-03-01,55.82531395348837,47.09516331754124,47.67700269610562,3.0862033585484756,3.790087463556846,3.897641402979898,0.02217062671274197,0
1985-04-01,48.845704081632654,48.53561830815818,27.179867807229876,1.3916456584006853,3.581800580832528,3.7836293304731483,-0.23202697365714153,0
1985-05-01,43.70865454545455,48.484540483179416,7.7247336710146275,0.24470364928565624,3.5748792270531515,3.6870587565448143,-0.24931721366184498,0
1985-06-01,50.24523958333334,49.75135368700825,22.55689216758252,1.5159908870673748,3.6644165863066513,3.6238961034407637,-0.21038844459554346,0
1985-07-01,53.5108021978022,50.94127823631515,33.835441100477226,1.9088344464540152,3.458213256484166,3.612605821832915,-0.6320038681739397,0
1985-08-01,60.46014814814815,52.09931041830987,54.18380495176649,2.581498054969958,3.3524904214559337,3.570314589281546,-0.9541934667025255,0
1985-09-01,67.70397260273973,54.07908685985177,71.48973781573022,2.839588739252887,3.2473734479465,3.479862253346488,-1.2504382658536914,0
1985-10-01,54.19500000000001,54.970636179579664,34.803459599939536,1.04797738594773,3.2350142721217834,3.422064535228031,-1.4117968704410355,0
1985-11-01,55.24091111111111,56.892678940522416,25.50439311402515,1.081266272882271,3.5137701804368593,3.4118796941253158,-0.9135865435153668,0
1985-12-01,58.02108139534884,58.188652575858335,36.058041215883165,1.2939986484870432,3.791469194312791,3.433055128793006,-0.3313385601195703,0
1986-01-01,57.52590804597701,58.85783688388747,24.05510303225491,1.1340372855490464,3.9735099337748325,3.51893790834145,0.07926897278922038,0
1986-02-01,53.917032258064516,57.767317568873544,0.7569844933893233,0.6525014061626947,3.19849482596426,3.4932719757595048,-1.4514025897291336,0
